dataset_name,--dedups,--maps-and-filters argument,--filter-short-documents,--preprocessings,Reasons to remove
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_510_timesofindia_indiatimes_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_multi_un_2,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_pseudocrawl-filtered_689_www_abc_net_au,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space strip_substrings_en_wiktionary,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_en dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space strip_substrings_en_wiktionary filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_uncorpus,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_no_code_stackexchange/data,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_wikipedia/data,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_open_subtitles,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_project_gutenberg,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_en_the_pile_uspto,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_s2orc_ai2_abstracts/data,dedup_document dedup_template_soft filter_remove_empty_docs,KILL,filter_small_docs_bytes_1024,KILL,Included in s2orc
bigscience-catalogue-lm-data/lm_en_pmc,dedup_document dedup_template_soft filter_remove_empty_docs,KILL,filter_small_docs_bytes_1024,KILL,Included in s2orc
bigscience-catalogue-lm-data/lm_en_arxiv,dedup_document dedup_template_soft filter_remove_empty_docs,KILL,filter_small_docs_bytes_1024,KILL,Included in s2orc
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_en_s2orc_ai2_pdf_parses/data,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_bloom,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_wikiversity_filtered/data,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft ,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft  filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft ,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_es dedup_template_soft  filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_scielo,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_qedcorpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
