dataset_name,--dedups,--maps-and-filters argument,--filter-short-documents,--preprocessings,Reasons to remove
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_641_es_globalvoices_org,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_58_www_levante_emv_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_157_www_elsoldemexico_com_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_237_www_cronista_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_245_www_noticiasdenavarra_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_518_www_elcolombiano_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_248_www_telesurtv_net,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_wikisource_filtered/data,dedup_document dedup_template_soft filter_remove_empty_docs,filter_wiki_user_titles filter_wiki_non_text_type,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs filter_wiki_user_titles filter_wiki_non_text_type filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_136_valenciaplaza_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_103_www_elmostrador_cl,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_189_www_eleconomista_com_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_429_cadenaser_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_146_www_perfil_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_215_www_lainformacion_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_198_www_eleconomista_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_409_www_proceso_com_mx,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_263_www_lasexta_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_354_www_lagaceta_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_181_noticiassin_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_267_www_elperiodico_com_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_211_www_elcomercio_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_349_www_eltiempo_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_333_www_elmundo_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_255_elcomercio_pe,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_63_www_lanacion_com_ar,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_424_www_lavanguardia_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_multi_un_2,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_20_www_clarin_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_wikipedia/data,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_341_es_cointelegraph_com,dedup_document_on_url_lm_es_pseudocrawl-filtered_341_es_cointelegraph_com dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url_lm_es_pseudocrawl-filtered_341_es_cointelegraph_com dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_396_www_eldiario_es,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_es_pseudocrawl-filtered_100_www_aporrea_org,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_uncorpus,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_es_open_subtitles,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space ,
bigscience-catalogue-lm-data/lm_eu_ted_talks_iwslt,dedup_document filter_remove_empty_docs,,,dedup_document filter_remove_empty_docs  ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_wikibooks_filtered/data,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,,dedup_document filter_remove_empty_docs split_sentences_eu dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space ,
bigscience-catalogue-lm-data/lm_eu_open_subtitles,dedup_document filter_remove_empty_docs,,,dedup_document filter_remove_empty_docs  ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_wikisource_filtered/data,dedup_document dedup_template_soft filter_remove_empty_docs,filter_wiki_user_titles filter_wiki_non_text_type,,dedup_document dedup_template_soft filter_remove_empty_docs filter_wiki_user_titles filter_wiki_non_text_type ,
bigscience-catalogue-lm-data/lm_eu_opus100,dedup_document dedup_template_soft filter_remove_empty_docs,,,dedup_document dedup_template_soft filter_remove_empty_docs  ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_pseudocrawl-filtered_563_ahotsak_eus,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_pseudocrawl-filtered_506_goiena_eus,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_pseudocrawl-filtered_637_www_argia_eus,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_pseudocrawl-filtered_635_www_berria_eus,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code ,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_eu_wikipedia/data,dedup_document filter_remove_empty_docs,filter_wiki_user_titles,,dedup_document filter_remove_empty_docs filter_wiki_user_titles ,
bigscience-catalogue-lm-data/lm_eu_bsbasque,dedup_document dedup_template_soft filter_remove_empty_docs,,,dedup_document dedup_template_soft filter_remove_empty_docs  ,
bigscience-catalogue-lm-data/lm_fr_book_dash_books,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_bloom,dedup_document dedup_template_soft filter_remove_empty_docs,KILL,filter_small_docs_bytes_1024,KILL,Bad quality
bigscience-catalogue-lm-data/lm_fr_qedcorpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_ester,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikivoyage_filtered/data,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikinews_filtered/data,dedup_document dedup_template_soft filter_remove_empty_docs,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_ted_talks_iwslt,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikiversity_filtered/data,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikibooks_filtered/data,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_the_pile_europarl,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_pseudocrawl-filtered_599_fr_globalvoices_org,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_pseudocrawl-filtered_530_www_mediapart_fr,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_bnl_historical_newspapers,dedup_document dedup_template_soft filter_remove_empty_docs,KILL,filter_small_docs_bytes_1024,KILL,bad quality
bigscience-catalogue-lm-data/lm_fr_project_gutenberg,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs split_sentences_fr dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_multi_un_2,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikipedia/data,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_open_subtitles,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_pseudocrawl-filtered_550_www_lemonde_fr,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_1024,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_uncorpus,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_1024,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_1024,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_fr_wikisource_filtered/data,dedup_document dedup_template_soft filter_remove_empty_docs,filter_wiki_user_titles filter_wiki_non_text_type,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs filter_wiki_user_titles filter_wiki_non_text_type filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_fr_hal_archives_ouvertes,dedup_document dedup_template_soft filter_remove_empty_docs,remove_references_fr,filter_small_docs_bytes_1024,dedup_document dedup_template_soft filter_remove_empty_docs remove_references_fr filter_small_docs_bytes_1024,
bigscience-catalogue-lm-data/lm_id_indonesian_frog_storytelling_corpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_bloom,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_wikiquote_filtered/data,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_indonli,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_recibrew,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_wikimedia_filtered/data,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_wikibooks_filtered/data,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_ted_talks_iwslt,dedup_document filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs  filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_opus100,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_wikisource_filtered/data,dedup_document dedup_template_soft filter_remove_empty_docs,filter_wiki_user_titles filter_wiki_non_text_type,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs filter_wiki_user_titles filter_wiki_non_text_type filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_indosum,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_pseudocrawl-filtered_512_kumparan_com,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs,remove_lines_with_code,filter_small_docs_bytes_300,dedup_document_on_url dedup_document dedup_pseudocrawl_newspapers filter_remove_empty_docs remove_lines_with_code filter_small_docs_bytes_300,
bigscience-catalogue-lm-data/lm_id_indonesian_news_corpus,dedup_document dedup_template_soft filter_remove_empty_docs,,filter_small_docs_bytes_300,dedup_document dedup_template_soft filter_remove_empty_docs  filter_small_docs_bytes_300,
/gpfswork/rech/six/uty16tp/dataset/tokenization/bigscience-catalogue-lm-data/lm_id_wiktionary_filtered/data,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft,filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space,filter_small_docs_bytes_300,dedup_document filter_remove_empty_docs split_sentences_id dedup_template_soft filter_wiki_user_titles filter_wiki_non_text_type replace_newline_with_space filter_small_docs_bytes_300,
